RIC	Year	ESG Score	Environmental Pillar Score	Social Pillar Score	Governance Pillar Score
DTEGn.DE	12/31/2021	84.56937731	83.81274769	91.30728327	71.63621529
DTEGn.DE	12/31/2022	82.77151583	82.24100226	90.87647347	66.92330007
DTEGn.DE	12/31/2023	79.55443714	84.10646055	89.29676892	56.5257649
DTGGe.DE	12/31/2021	85.11509017	82.89792392	89.37767852	82.18696273
DTGGe.DE	12/31/2022	83.5577876	87.26520049	89.67037704	71.09460818
ECVG.DE	12/31/2018	9.643416983	8.677383997	4.163194961	18.40996169
ECVG.DE	12/31/2019	9.488368669	13.67580385	3.827181314	9.72927242
ECVG.DE	12/31/2020	29.75335234	27.63306283	36.00626954	25.22905214
ECVG.DE	12/31/2021	38.6647489	35.83125959	46.3440744	33.49855757
ECVG.DE	12/31/2022	36.54960498	34.418501	45.65351817	28.3373946
ECVG.DE	12/31/2023	35.27886254	32.72908685	41.69218081	31.27616747
EKTG.DE		NULL	NULL	NULL	NULL
ELGG.DE	12/31/2018	24.9445386	11.65360874	37.78151482	19.71264368
ELGG.DE	12/31/2019	32.56776493	30.69274011	35.15067878	30.55598686
ELGG.DE	12/31/2020	33.39271829	31.42308131	33.57015127	35.46351824
ELGG.DE	12/31/2021	47.28886846	54.08104135	47.55744641	38.69510738
ELGG.DE	12/31/2022	58.1666548	59.83094593	57.41819536	57.40446353
ENR1n.DE	9/30/2020	79.24894973	80.09049774	70.02669785	85.67299683
ENR1n.DE	9/30/2021	74.53920411	69.6419686	72.35180755	81.83932162
ENR1n.DE	9/30/2022	70.47522505	67.89202256	68.65260578	74.86094995
EONGn.DE	12/31/2010	60.4632837	57.74702274	74.37717188	45.40931373
EONGn.DE	12/31/2011	75.28763757	83.89886815	81.88135041	50.33643411
EONGn.DE	12/31/2012	81.46382409	90.36761381	71.22880995	80.10718954
EONGn.DE	12/31/2013	82.03503902	84.84328438	75.9904127	85.64416177
EONGn.DE	12/31/2014	79.52920294	81.97603273	74.41648191	82.4531428
EONGn.DE	12/31/2015	78.35391406	81.61368588	76.21765831	75.54829137
EONGn.DE	12/31/2016	77.424683	78.31235176	78.99943133	73.56973995
EONGn.DE	12/31/2017	67.72592429	62.60303537	70.49375712	72.9798973
EONGn.DE	12/31/2018	74.47111702	58.18578081	82.0832018	92.87406735
EONGn.DE	12/31/2019	74.19129034	63.83880225	82.27537654	81.23857868
EONGn.DE	12/31/2020	67.02802891	48.24192248	80.52019584	81.50424788
EONGn.DE	12/31/2021	67.85914928	49.09892035	78.64341085	86.17011977
EONGn.DE	12/31/2022	73.54385279	69.23739482	75.64095799	78.28962636
EUZG.DE	12/31/2019	25.16422501	5.408653846	34.52599388	29.22962078
EUZG.DE	12/31/2020	37.94541257	8.349830317	51.14181839	45.54056305
EUZG.DE	12/31/2021	30.28057253	7.351973684	47.80031118	22.91021942
EUZG.DE	12/31/2022	33.39965823	7.461622807	43.11121841	43.42422836
EVDG.DE	12/31/2017	25.04592739	9.355459355	44.67352653	12.85152409
EVDG.DE	12/31/2018	26.21147391	10.326375	44.53182068	15.20114943
EVDG.DE	12/31/2019	27.30784858	11.32335008	44.60050194	17.21230218
EVDG.DE	12/31/2020	30.55898526	10.24818047	49.49806092	20.34357821
EVDG.DE	12/31/2021	31.76598967	9.556246658	46.94005437	25.36235685
EVDG.DE	12/31/2022	24.0035862	3.635346756	38.66294986	17.4907171
EVDG.DE	12/31/2023	22.54160231	3.25732899	40.72485644	12.66908213
EVKn.DE	12/31/2013	75.85919138	87.4092386	72.42984262	61.2649489
EVKn.DE	12/31/2014	84.013104	85.83778598	93.53775182	64.65051258
EVKn.DE	12/31/2015	87.30807156	88.27198898	93.17047848	75.67162795
EVKn.DE	12/31/2016	88.07884261	90.75968415	95.07424902	71.4893617
EVKn.DE	12/31/2017	88.2832345	90.89184261	94.51367567	73.11755709
EVKn.DE	12/31/2018	87.15906213	88.54819197	93.94395535	73.20830813
EVKn.DE	12/31/2019	86.19706031	89.16424795	95.07420052	65.91320792
EVKn.DE	12/31/2020	84.59467365	89.04038093	86.75888006	73.07346327
EVKn.DE	12/31/2021	84.032745	89.70475785	85.31044964	71.84718944
EVKn.DE	12/31/2022	84.02134045	95.03459702	84.58123233	63.61588149
EVTG.DE	12/31/2017	56.80789756	5	68.49452698	80.69867803
EVTG.DE	12/31/2018	60.62857762	5	72.86745461	86.56331922
EVTG.DE	12/31/2019	68.06195022	40.9375	71.75435001	82.78073057
EVTG.DE	12/31/2020	74.34648448	55.65079365	74.23533904	86.91154423
EVTG.DE	12/31/2021	80.8795723	78.88545275	73.15074185	89.25080864
EVTG.DE	12/31/2022	79.10644793	79.99568966	71.80640381	85.16477141
FMEG.DE	12/31/2010	67.66495487	65.71428571	65.10416667	71.71323529
FMEG.DE	12/31/2011	75.16177574	61.06140351	69.78070175	88.66925065
FMEG.DE	12/31/2012	66.06418734	54.9122807	60.97781218	77.74379085
FMEG.DE	12/31/2013	67.54563488	57.62318841	57.74487031	84.2677756
FMEG.DE	12/31/2014	66.43097015	46.94202899	59.1984127	84.85450968
FMEG.DE	12/31/2015	68.91699496	47.38359202	64.73886329	84.69745444
FMEG.DE	12/31/2016	72.72369247	46.08391608	75.04977667	83.25227964
FMEG.DE	12/31/2017	74.20548314	62.35106383	71.16636456	83.77963509
FMEG.DE	12/31/2018	80.24705579	58.5531401	80.64955858	90.61101028
FMEG.DE	12/31/2019	79.13494739	55.87361111	77.34769242	92.91032149
FMEG.DE	12/31/2020	83.04362523	63.26356589	84.6477857	91.00866234
FMEG.DE	12/31/2021	84.85852729	66.30414234	84.82587815	94.17489874
FMEG.DE	12/31/2022	84.1997219	66.07235142	86.16628181	90.90353524
FNTGn.DE	12/31/2011	22.55417855	5.544403952	11.33246525	58.10077519
FNTGn.DE	12/31/2012	13.65775008	3.30293899	10.71903443	27.49019608
FNTGn.DE	12/31/2013	14.94251208	3.996486605	10.76816535	31.70634921
FNTGn.DE	12/31/2014	7.521432692	3.68613673	2.89928474	19.73180077
FNTGn.DE	12/31/2015	10.19489715	4.813664596	2.157696874	30.43956044
FNTGn.DE	12/31/2016	16.7239816	9.355848392	4.168703492	47.55319149
FNTGn.DE	12/31/2017	16.40540824	8.436812278	7.407499011	40.56047198
FNTGn.DE	12/31/2018	32.4342296	18.02710936	20.05691262	68.3030853
FNTGn.DE	12/31/2019	34.936683	38.49213566	28.30437794	45.51229223
FNTGn.DE	12/31/2020	32.50861534	41.56528378	25.01196584	40.60011661
FNTGn.DE	12/31/2021	33.69351747	41.71097151	23.42835271	48.13416091
